Transaction Event,Transaction Thread Id,Transaction TimeNs,ValidIndex Event,ValidIndex Thread Id,ValidIndex TimeNs,Position Event,Position Thread Id,Position TimeNs,State Event,State Thread Id,State TimeNs,Name Event,Name Thread Id,Name TimeNs,ComplexComponent Event,ComplexComponent Thread Id,ComplexComponent TimeNs
TransactionEnd,PositionUpdate,1117790377031000,ReadLock,PositionUpdate,1117790268174100,,,,ReadLock,PositionUpdate,1117790486794000,,,,,,
TransactionStart,StateUpdate,1117790486792500,ReadLock,StateUpdate,1117790268175200,,,,WriteUnlock,StateUpdate,1117790486795400,,,,,,
TransactionStart,PositionUpdate,1117790486793200,ReadUnlock,PositionUpdate,1117790268177800,,,,ReadUnlock,PositionUpdate,1117790486802700,,,,,,
TransactionEnd,StateUpdate,1117790486795600,ReadUnlock,StateUpdate,1117790268178200,,,,ReadLock,PositionUpdate,1117790596427300,,,,,,
TransactionEnd,PositionUpdate,1117790486803300,ReadLock,StateUpdate,1117790377022700,,,,ReadUnlock,PositionUpdate,1117790596429400,,,,,,
TransactionStart,PositionUpdate,1117790596426200,ReadUnlock,StateUpdate,1117790377027100,,,,WriteLock,StateUpdate,1117790596460100,,,,,,
TransactionEnd,PositionUpdate,1117790596431100,ReadLock,PositionUpdate,1117790377027400,,,,WriteUnlock,StateUpdate,1117790596461300,,,,,,
TransactionStart,StateUpdate,1117790596459600,ReadUnlock,PositionUpdate,1117790377030900,,,,ReadLock,PositionUpdate,1117790708518900,,,,,,
TransactionEnd,StateUpdate,1117790596461400,ReadLock,StateUpdate,1117790486792900,,,,WriteLock,StateUpdate,1117790708519000,,,,,,
TransactionStart,PositionUpdate,1117790708517900,ReadLock,PositionUpdate,1117790486793500,,,,WriteUnlock,StateUpdate,1117790708521200,,,,,,
TransactionStart,StateUpdate,1117790708518500,ReadUnlock,StateUpdate,1117790486795500,,,,ReadUnlock,PositionUpdate,1117790708521900,,,,,,
TransactionEnd,StateUpdate,1117790708521400,ReadUnlock,PositionUpdate,1117790486803300,,,,WriteLock,StateUpdate,1117790820521400,,,,,,
TransactionEnd,PositionUpdate,1117790708523000,ReadLock,PositionUpdate,1117790596426800,,,,ReadLock,PositionUpdate,1117790820521400,,,,,,
TransactionStart,PositionUpdate,1117790820520300,ReadUnlock,PositionUpdate,1117790596431000,,,,ReadUnlock,PositionUpdate,1117790820523000,,,,,,
TransactionStart,StateUpdate,1117790820520400,ReadLock,StateUpdate,1117790596459800,,,,WriteUnlock,StateUpdate,1117790820524300,,,,,,
TransactionEnd,StateUpdate,1117790820524500,ReadUnlock,StateUpdate,1117790596461400,,,,ReadLock,PositionUpdate,1117790930530700,,,,,,
TransactionEnd,PositionUpdate,1117790820524700,ReadLock,PositionUpdate,1117790708518400,,,,ReadUnlock,PositionUpdate,1117790930532800,,,,,,
TransactionStart,PositionUpdate,1117790930529500,ReadLock,StateUpdate,1117790708518800,,,,WriteLock,StateUpdate,1117790930538900,,,,,,
TransactionEnd,PositionUpdate,1117790930534400,ReadUnlock,StateUpdate,1117790708521300,,,,WriteUnlock,StateUpdate,1117790930541000,,,,,,
TransactionStart,StateUpdate,1117790930538300,ReadUnlock,PositionUpdate,1117790708522900,,,,ReadLock,PositionUpdate,1117791042524800,,,,,,
TransactionEnd,StateUpdate,1117790930541200,ReadLock,StateUpdate,1117790820521000,,,,ReadUnlock,PositionUpdate,1117791042526300,,,,,,
TransactionStart,PositionUpdate,1117791042523200,ReadLock,PositionUpdate,1117790820521000,,,,WriteLock,StateUpdate,1117791042551400,,,,,,
TransactionEnd,PositionUpdate,1117791042527400,ReadUnlock,StateUpdate,1117790820524400,,,,WriteUnlock,StateUpdate,1117791042553100,,,,,,
TransactionStart,StateUpdate,1117791042550900,ReadUnlock,PositionUpdate,1117790820524600,,,,WriteLock,StateUpdate,1117791153128400,,,,,,
TransactionEnd,StateUpdate,1117791042553200,ReadLock,PositionUpdate,1117790930530100,,,,ReadLock,PositionUpdate,1117791153128400,,,,,,
TransactionStart,PositionUpdate,1117791153127300,ReadUnlock,PositionUpdate,1117790930534200,,,,ReadUnlock,PositionUpdate,1117791153130500,,,,,,
TransactionStart,StateUpdate,1117791153127300,ReadLock,StateUpdate,1117790930538600,,,,WriteUnlock,StateUpdate,1117791153131400,,,,,,
TransactionEnd,StateUpdate,1117791153131700,ReadUnlock,StateUpdate,1117790930541100,,,,,,,,,,,,
TransactionEnd,PositionUpdate,1117791153132100,ReadLock,PositionUpdate,1117791042524300,,,,,,,,,,,,
,,,ReadUnlock,PositionUpdate,1117791042527300,,,,,,,,,,,,
,,,ReadLock,StateUpdate,1117791042551200,,,,,,,,,,,,
,,,ReadUnlock,StateUpdate,1117791042553100,,,,,,,,,,,,
,,,ReadLock,StateUpdate,1117791153128000,,,,,,,,,,,,
,,,ReadLock,PositionUpdate,1117791153128000,,,,,,,,,,,,
,,,ReadUnlock,StateUpdate,1117791153131600,,,,,,,,,,,,
,,,ReadUnlock,PositionUpdate,1117791153132000,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
